class,name,low,high
Metal,Cast Irons,7.05,7.25
Polymer,Butyl Rubber,0.9,0.92
Metal,High Carbon Steels,7.8,7.9
Polymer,EVA,0.945,0.955
Metal,Medium Carbon Steels,7.8,79
Polymer,Isoprene (IR),0.93,0.94
Metal,Low Carbon Steels,7.8,7.9
Polymer,Natural Rubber (NR),0.92,0.93
Metal,Low Alloy Steels,7.8,7.9
Polymer,Neoprene (CR),1.23,1.25
Metal,Stainless Steels,7.6,8.1
Polymer,Polyurethane Elastomers (elPU),1.02,1.25
Metal,Aluminium Alloys,2.5,2.9
Polymer,Silicone Elastomers,1.3,1.8
Metal,Copper Alloys,8.93,8.94
Polymer,Thermoplastic (ABS),1.01,1.21
Metal,Lead Alloys,10,11.4
Polymer,Cellulose Polymers (CA),0.98,1.3
Metal,Magnesium Alloys,1.74,1.95
Polymer,Ionomer (l),0.93,0.96
Metal,Nickel Alloys,8.83,8.95
Polymer,Nylons (PA),1.12,1.14
Metal,Titanium Alloys,4.4,4.8
Polymer,Polycarbonate (PC),1.14,1.21
Metal,Zinc Alloys,4.95,7
Polymer,PEEK,1.3,1.32
Polymer,Polyethylene (PE),0.939,0.96
Ceramic,Borosilicate Glass,2.2,2.3
Polymer,PET,1.29,1.4
Ceramic,Glass Ceramic,2.2,2.8
Polymer,Acrylic (PMMA),1.16,1.22
Ceramic,Silica Glass,2.17,2.22
Polymer,Acetal (POM),1.39,1.43
Ceramic,Soda-Lime Glass,2.44,2.49
Polymer,Polypropylene (PP),0.89,0.91
Ceramic,Brick,1.9,2.1
Polymer,Polystyrene (PS),1.04,1.05
Ceramic,Concrete (typical),2.2,2.6
Polymer,Polyurethane Thermoplastics (tpPU),1.12,1.24
Ceramic,Stone,2.5,3
Polymer,PVC,1.3,1.58
Ceramic,Alumina,3.5,3.98
Polymer,Teflon (PTFE),2.14,2.2
Ceramic,Aluminium Nitride,3.26,3.33
Polymer,Epoxies,1.4
Ceramic,Boron Carbide,2.35,2.55
Polymer,Phenolics,1.24,1.32
Ceramic,Silicon,2.3,2.35
Polymer,Polyester,1.04,1.4
Ceramic,Silicon Carbide,3,3.21
Ceramic,Silicon Nitride,3,3.29
Polymer,Flexible Polymer Foam (VLD),0.016,0.035
Ceramic,Tungsten Carbide,15.3,15.9
Polymer,Flexible Polymer Foam (LD),0.038,0.07
Polymer,Flexible Polymer Foam (MD),0.07,0.115
Ceramic,Aluminium/Silicon Carbide,2.66,29
Polymer,Rigid Polymer Foam (LD),0.036,0.07
Polymer,CFRP,1.5,1.6
Polymer,Rigid Polymer Foam (MD),0.078,0.165
Polymer,GFRP,1.75,1.97
Polymer,Rigid Polymer Foam (HD),0.17,0.47
