T/K,Cp0/(J/(mol*K)),H0T-H0298.15/(J/mol),S0T/(J/(mol*K)),-(G0T-H0298.15)/T/(J/(mol*K)),-DelfH0/(kJ/mol),-DelfG0/(kJ/mol)
298.15,142.36,0,165.60,165.60,1386.185,1284.409
300,142.67,264,166.48,165.60,1386.176,1283.779
400,155.26,15215,209.41,171.37,1385.372,1249.751
500,163.75,31185,245.01,182.64,1384.332,1215.966
600,170.61,47911,275.48,195.63,1383.264,1182.394
700,176.72,65282,302.25,208.99,1382.210,1149.001
800,182.42,83241,326.22,222.17,1381.159,1115.755
900,187.88,101757,348.03,234.96,1380.081,1082.647
980,192.14,116958,364.20,244.86,1379.150,1056.369
980,192.14,116958,364.20,244.86,1385.825,1056.370
1000,193.19,120812,368.10,247.28,1385.648,1049.525
1100,198.41,140392,386.75,259.12,1384.449,1015.969
1200,203.56,160490,404.24,270.50,1382.945,982.538
1300,208.66,181102,420.73,281.42,1381.121,949.236
1360,211.71,193713,430.22,287.78,1379.872,929.462
1360,211.71,193713,430.22,287.78,1386.232,929.462
1400,213.74,202222,436.38,291.94,1385.785,915.903
1411,214.29,204576,438.06,293.07,1385.713,912.238
1411,214.29,204576,438.06,293.07,1391.353,912.240
1445,216.01,211891,443.18,296.54,1391.195,900.813
1445,210.90,229615,455.43,296.53,1373.471,900.788
1500,210.90,241214,463.31,302.50,1373.337,882.651
1519,210.90,245222,465.96,304.53,1373.442,876.614
1519,210.90,245222,465.96,304.53,1406.442,876.612
1600,210.90,262304,476.92,312.98,1406.393,848.179
1700,210.90,283394,489.71,323.00,1406.499,813.289
1800,210.90,304484,501.76,332.60,1406.651,778.391
