std,mesh_in,mesh_no,sieve_opening
mm,in,no,mm
25.4,1,,25.4
22.6,7/8,,22.6
19,3/4,,19
16,5/8,,16
13.5,0.53,,13.5
12.7,1/2,,12.7
11.2,7/16,,11.2
9.51,3/8,,9.51
8,5/16,,8
6.73,0.265,,6.73
6.35,1/4,,6.35
5.66,,3.5,5.66
4.76,,4,4.76
4,,5,4
3.36,,6,3.36
2.83,,7,2.83
2.38,,8,2.38
2,,10,2
1.68,,12,1.68
1.41,,14,1.41
1.19,,16,1.19
1,,18,1
0.841,,20,0.841
0.707,,25,0.707
0.595,,30,0.595
0.5,,35,0.5
0.42,,40,0.42
0.354,,45,0.354
0.297,,50,0.297
0.25,,60,0.25
0.21,,70,0.21
0.177,,80,0.177
0.149,,100,0.149
0.125,,120,0.125
0.105,,140,0.105
0.088,,170,0.088
0.074,,200,0.074
0.063,,230,0.063
0.053,,270,0.053
0.044,,325,0.044
0.037,,400,0.037
