Dt	Dm	Lo	nv	Ln	sn	Fn	c	Cat.no	Fn	c	Cat.no
1.25	10	20	3.5	7.7	12.3	85.4	7.09	6016	79	7.59	6041
1.25	10	29.5	5.5	10.8	18.7	85.4	4.51	6017	79	4.19	6042
1.25	10	44.5	8.5	15.2	29.3	85.4	2.92	6018	79	2.71	6043
1.25	10	64.	12.5	21.1	42.9	85.4	1.99	6019	79	1.85	6044
1.25	10	93.5	18.5	30	63.5	85.4	1.34	6020	79	1.25	6045
1.25	12.5	27	3.5	8.2	18.8	69	3.63	6021	64	3.38	6046
1.25	12.5	41.5	5.5	11.6	29.9	69	2.31	6022	64	2	6047
1.25	12.5	62.5	8.5	16.5	46	69	1.49	6023	64	1.38	6048
1.25	12.5	90.5	12.5	23.1	67.4	69	1.02	6024	64	0.95	6049
1.25	12.5	130.	18.5	32.9	97.1	69	0.69	6025	64	0.64	6050
1.25	16	40.5	3.5	9.1	31.4	54.2	1.73	6026	50	1.61	6051
1.25	16	62.	5.5	12.9	49.1	54.2	1.1	6027	50	1.02	6052
1.25	16	94.	8.5	18.5	75.5	54.2	0.72	6028	50	0.67	6053
1.25	16	140.	12.5	26	114	54.2	0.48	6029	50	0.45	6054
1.25	16	205.	18.5	37.3	168	54.2	0.32	6030	50	0.3	6055
1.6	8	14.5	3.5	9	5.5	212	37.30	6056	197	34.7	6081
1.6	8	21.5	5.5	12.6	8.9	212	23.70	6057	197	22	6082
1.6	8	31.5	8.5	17.9	13.6	212	15.40	6058	197	14.3	6083
1.6	8	45	12.5	24.8	20.2	212	10.40	6059	197	9.7	6084
1.6	8	65.5	18.5	35.2	30.3	212	7.05	6060	197	6.56	6085
1.6	10	18.5	3.5	9.4	9.1	170	19.1	6061	158	17.76	6086
1.6	10	27	5.5	13.2	13.8	170	12.2	6062	158	11.34	6087
1.6	10	40.5	8.5	18.9	21.6	170	7.87	6063	158	7.32	6088
1.6	10	58.5	12.5	26.5	32	170	5.33	6064	158	4.96	6089
1.6	10	85.	18.5	37.9	47.1	170	3.61	6065	158	3.36	6090
1.6	12.5	24	3.5	10	14	135	9.76	6066	125	9.07	6091
1.6	12.5	36	5.5	14.1	21.9	135	6.23	6067	125	5.79	6092
1.6	12.5	53.5	8.5	20.1	33.4	135	4.04	6068	125	3.75	6093
1.6	12.5	78.	12.5	28	50	135	2.73	6069	125	2.54	6094
1.6	12.5	115.	18.5	39.9	75.1	135	1.84	6070	125	1.71	6095
1.6	16	34	3.5	11	23	106	4.65	6071	99	4.32	6096
1.6	16	51.5	5.5	15.5	36	106	2.96	6072	99	2.75	6097
1.6	16	77.5	8.5	22.2	55.3	106	1.92	6073	99	1.79	6098
1.6	16	110.	12.5	31.2	78.8	106	1.3	6074	99	1.2	6099
1.6	16	165.	18.5	44.6	120	106	0.88	6075	99	0.82	6100
1.6	20	48.	3.5	12.4	35.6	84.8	2.38	6076	79	2.21	6101
1.6	20	73.5	5.5	17.6	55.9	84.8	1.5	6077	79	1.39	6102
1.6	20	110.	8.5	25.5	84.5	84.8	0.99	6078	79	0.92	6103
1.6	20	165.	12.5	36	129	84.8	0.67	6079	79	0.62	6104
1.6	20	240.	18.5	51.8	188	84.8	0.45	6080	79	0.42	6561
2	10	18	3.5	11.2	6.8	318	46.6	6105	295	43.3	6130
2	10	26.5	5.5	15.6	10.9	318	29.7	6106	295	27.6	6131
2	10	38.5	8.5	22	16.5	318	19.2	6107	295	17.9	6132
2	10	55	12.5	30.6	24.4	318	13	6108	295	12.2	6133
2	10	79.5	18.5	43.4	36.1	318	8.81	6109	295	8.29	6134
2	12.5	22.5	3.5	11.7	10.8	254	23.9	6110	236	22.22	6135
2	12.5	33	5.5	16.4	16.6	254	15.2	6111	236	14.13	6136
2	12.5	49.5	8.5	23.5	26	254	9.81	6112	236	9.12	6137
2	12.5	71.	12.5	33	38	254	6.69	6113	236	6.22	6138
2	12.5	105.	18.5	47.2	57.8	254	4.52	6114	236	4.2	6139
2	16	30	3.5	12.5	17.5	198	11.4	6115	184	10.6	6140
2	16	45	5.5	17.7	27.3	198	7.24	6116	184	6.73	6141
2	16	68.	8.5	25.5	42.5	198	4.69	6117	184	4.36	6142
2	16	98.	12.5	35.9	62.1	198	3.19	6118	184	2.97	6143
2	16	145.	18.5	51.4	93.6	198	2.16	6119	184	2	6144
