3700-3584|O-H stretching|alcohol
3550-3200|O-H stretching|alcohol
3500|N-H stretching|primary amine
3400| | 
3400-3300|N-H stretching|aliphatic primary amine
3330-3250| | 
3350-3310|N-H stretching|secondary amine
3300-2500|O-H stretching|carboxylic acid
3200-2700|O-H stretching|alcohol
3000-2800|N-H stretching|amine salt
3333-3267|C-H stretching|alkyne
3100-3000|C-H stretching|alkene
3000-2840|C-H stretching|alkane
2830-2695|C-H stretching|aldehyde
2600-2550|S-H stretching|thiol
2349|O=C=O stretching|carbon dioxide
2275-2250|N=C=O stretching|isocyanate
2260-2222|CΞN stretching|nitrile
2260-2190|CΞC stretching|alkyne
2175-2140|S-CΞN stretching|thiocyanate
2160-2120|N=N=N stretching|azide
2150|C=C=O stretching|ketene
2145-2120|N=C=N stretching|carbodiimide
2140-2100|CΞC stretching|alkyne
2140-1990|N=C=S stretching|isothiocyanate
2000-1900|C=C=C stretching|allene
2000|C=C=N stretching|ketenimine
2000-1650|C-H bending|aromatic compound
1870-1540| | 
1818|C=O stretching|anhydride
1750| | 
1815-1785|C=O stretching|acid halide
1800-1770|C=O stretching|conjugated acid halide
1775|C=O stretching|conjugated anhydride
1720| | 
1770-1780|C=O stretching|vinyl / phenyl ester
1760|C=O stretching|carboxylic acid
1750-1735|C=O stretching|esters
1750-1735|C=O stretching|δ-lactone
1745|C=O stretching|cyclopentanone
1740-1720|C=O stretching|aldehyde
1730-1715|C=O stretching|α,β-unsaturated ester
1725-1705|C=O stretching|aliphatic ketone
1720-1706|C=O stretching|carboxylic acid
1710-1680|C=O stretching|conjugated acid
1710-1685|C=O stretching|conjugated aldehyde
1690|C=O stretching|primary amide
1690-1640|C=N stretching|imine / oxime
1685-1666|C=O stretching|conjugated ketone
1680|C=O stretching|secondary amide
1680|C=O stretching|tertiary amide
1650|C=O stretching|δ-lactam
1678-1668|C=C stretching|alkene
1675-1665|C=C stretching|alkene
1675-1665|C=C stretching|alkene
1662-1626|C=C stretching|alkene
1658-1648|C=C stretching|alkene
1650-1600|C=C stretching|conjugated alkene
1650-1580|N-H bending|amine
1650-1566|C=C stretching|cyclic alkene
1648-1638|C=C stretching|alkene
1620-1610|C=C stretching|α,β-unsaturated ketone
1550-1500|N-O stretching|nitro compound
1372-1290| | 
1465|C-H bending|alkane
1450|C-H bending|alkane
1375| | 
1390-1380|C-H bending|aldehyde
1385-1380|C-H bending|alkane
1370-1365| | 
1440-1395|O-H bending|carboxylic acid
1420-1330|O-H bending|alcohol
1415-1380|S=O stretching|sulfate
1200-1185| | 
1410-1380|S=O stretching|sulfonyl chloride
1204-1177| | 
1400-1000|C-F stretching|fluoro compound
1390-1310|O-H bending|phenol
1372-1335|S=O stretching|sulfonate
1195-1168| | 
1370-1335|S=O stretching|sulfonamide
1170-1155| | 
1350-1342|S=O stretching|sulfonic acid
1165-1150| | 
1350-1300|S=O stretching|sulfone
1160-1120| | 
1342-1266|C-N stretching|aromatic amine
1310-1250|C-O stretching|aromatic ester
1275-1200|C-O stretching|alkyl aryl ether
1075-1020| | 
1250-1020|C-N stretching|amine
1225-1200|C-O stretching|vinyl ether
1075-1020| | 
1210-1163|C-O stretching|ester
1205-1124|C-O stretching|tertiary alcohol
1150-1085|C-O stretching|aliphatic ether
1124-1087|C-O stretching|secondary alcohol
1085-1050|C-O stretching|primary alcohol
1070-1030|S=O stretching|sulfoxide
1050-1040|CO-O-CO stretching|anhydride
995-985|C=C bending|alkene
915-905| | 
980-960|C=C bending|alkene
895-885|C=C bending|alkene
850-550|C-Cl stretching|halo compound
840-790|C=C bending|alkene
730-665|C=C bending|alkene
690-515|C-Br stretching|halo compound
600-500|C-I stretching|halo compound
880 ± 20|C-H bending|1,2,4-trisubstituted
810 ± 20| | 
880 ± 20|C-H bending|1,3-disubstituted
780 ± 20| | 
(700 ± 20)| | 
810 ± 20|C-H bending|1,4-disubstituted or
780 ± 20|C-H bending|1,2,3-trisubstituted
(700 ± 20)| | 
755 ± 20|C-H bending|1,2-disubstituted
750 ± 20|C-H bending|monosubstituted
700 ± 20| |benzene derivative
