Element,Fermi Energy eV,Fermi Temperature x 10^4 K,Fermi Velocity x 10^6 m/s
Li,4.74,5.51,1.29
Na,3.24,3.77,1.07
K,2.12,2.46,0.86
Rb,1.85,2.15,0.81
Cs,1.59,1.84,0.75
Cu,7,8.16,1.57
Ag,5.49,6.38,1.39
Au,5.53,6.42,1.4
Be,14.3,16.6,2.25
Mg,7.08,8.23,1.58
Ca,4.69,5.44,1.28
Sr,3.93,4.57,1.18
Ba,3.64,4.23,1.13
Nb,5.32,6.18,1.37
Fe,11.1,13,1.98
Mn,10.9,12.7,1.96
Zn,9.47,11,1.83
Cd,7.47,8.68,1.62
Hg,7.13,8.29,1.58
Al,11.7,13.6,2.03
Ga,10.4,12.1,1.92
In,8.63,10,1.74
Tl,8.15,9.46,1.69
Sn,10.2,11.8,1.9
Pb,9.47,11,1.83
Bi,9.9,11.5,1.87
Sb,10.9,12.7,
