Kr-F (KrF2),50,190
Xe-O,84,175
At-At,116,
Sb-Sb,121,
C-Pb,130,230
Xe-F,130,195
O-O,142,148
Pb-I,142,279
As-As,146,243
I-I,148,267
F-F,155,142
N-N,167,145
Se-Se,172,
I-Br,175,
P-I,184,
Ge-Ge,188,241
Br-Br,190,228
O-F,190,142
C-Sn,192,216
As-I,200,254
I-O,201,
N-O,201,140
P-P,201,221
Pb-Br,201,
Sn-I,205,270
I-Cl,208,232
Ge-I,212,
C-I,213,214
Si-Si,222,233
S-S (S8),226,205
Si-I,234,243
C-Ge,238,195
H-Te,238,170
Cl-Cl,240,199
Pb-Cl,243,242
H-As,247,152
Sb-Cl (SbCl5),248,
H-Sn,251,170
S-Cl,255,207
Ge-N,257,
C-P,264,184
P-Br,264,
C-S,272,182
Se=Se,272,215
I-F,273,191
Sn-Br,273,250
Ge-Br,276,230
H-Se,276,146
N-F,283,136
S-F,284,156
C-Br,285,194
H-Ge,288,153
B-B,293,
Si-S,293,200
H-I,295,161
As-O,301,178
C-N,305,147
Si-Br,310,215
N-Cl,313,175
Sb-Cl (SbCl3),315,232
C-Si,318,185
H-Si,318,148
As-Cl,322,216
H-P,322,144
Sn-Cl,323,233
P-Cl,326,203
C-Cl,327,177
Pb-F,331,
P-O,335,163
P=S,335,186
C-C,346,154
Ge-Cl,349,210
Si-N,355,
C-B,356,
C-O,358,143
H-Br,362,141
H-S,363,134
B-Br,377,
Si-Cl,381,202
H-N,386,101
H-B,389,119
H-C,411,109
Sn-F,414,
N=N,418,125
S=S,425,149
H-Cl,428,127
H-H,432,74
Sb-F,440,
Si-O,452,163
B-Cl,456,175
As-Br,458,233
H-O,459,96
Ge-F,470,168
As-F,484,171
C-F,485,135
P-F,490,154
O=O,494,121
S=O,522,143
B-O,536,
P=O,544,150
H-F,565,92
Si-F,565,160
C=S,573,160
C=C,602,134
N=O,607,121
B-F,613,
C=N,615,129
C=O,799,120
C=-C,835,120
C=-N,887,116
N=-N,942,110
C=-O,1072,113
