compound,specificheats,,,
Xylene,1.72,,,"Xylene,Water (fresh),Water (36 F),Turpentine,Tuluol,Trichlor ethylene,Toluene,Sulfuric acid concentrated,Sulfuric acid,Soya bean oil,Sodium hydrate,Sodium (200 F),Sodium (1000 F),Sesame oil,Propylene Glycol,Propylene,Propane (32 F),Potassium hydrate,Phenol,Petroleum ether,Petroleum,Perchlor ethylene,Paraffin,Oil (Vegetable),Oil (Turpentine),Oil (Olive),Oil (Olive),Oil (Mineral),Oil (Castor),Octane,Nitro benzole,Nitric acid,n-Butane (32 F),Naphthalene,Milk,Methyl alcohol,Mercury,Linseed Oil,Light Oil (60 F),Light Oil (300 F),Kerosene,Iodine,Hydrochlor acid,Hexane,Heptane,Glycerine,Gasoline,Fuel Oil min.,Fuel Oil max.,Ethylene glycol,Ethyl ether,Ether,Dowtherm,Dodecane,Diphenylamine,Dichlorodifluoromethane R-12 saturated (-40 F),Dichlorodifluoromethane R-12 saturated (120 F),Dichlorodifluoromethane R-12 saturated (0 F),Decane,Citron Oil,Chloroform,Castor Oil,Carbon Tetrachloride,Carbon Disulfide,Calcium Chloride,Bromine,Bismuth (800 F),Bismuth (1400 F),Bismuth (1000 F),Benzol,Benzine,Benzene (60 F),Benzene (150 F),Aniline,Ammonia (32 F),Ammonia (238 F),Ammonia (212 F),Ammonia (176 F),Ammonia (104 F),Alcohol (propyl),Alcohol (methyl 65 F),Alcohol (methyl 45 F),Alcohol (ethyl 32 F),Alcohol (ethyl 104 F),Acetone,Acetic acid"
Water (fresh),4.19,,,
Water (36 F),3.93,,,
Turpentine,1.72,,,
Tuluol,1.51,,,
Trichlor ethylene,1.3,,,
Toluene,1.72,,,
Sulfuric acid concentrated,1.38,,,
Sulfuric acid,1.34,,,
Soya bean oil,1.97,,,
Sodium hydrate,3.93,,,
Sodium (200 F),1.38,,,
Sodium (1000 F),1.26,,,
Sesame oil,1.63,,,
Propylene Glycol,2.5,,,
Propylene,2.85,,,
Propane (32 F),2.4,,,
Potassium hydrate,3.68,,,
Phenol,1.43,,,
Petroleum ether,1.76,,,
Petroleum,2.13,,,
Perchlor ethylene,0.905,,,
Paraffin,2.13,,,
Oil (Vegetable),1.67,,,
Oil (Turpentine),1.8,,,
Oil (Olive),1.97,,,
Oil (Olive),1.97,,,
Oil (Mineral),1.67,,,
Oil (Castor),1.97,,,
Octane,2.15,,,
Nitro benzole,1.52,,,
Nitric acid,1.72,,,
n-Butane (32 F),2.3,,,
Naphthalene,1.72,,,
Milk,3.93,,,
Methyl alcohol,2.51,,,
Mercury,0.14,,,
Linseed Oil,1.84,,,
Light Oil (60 F),1.8,,,
Light Oil (300 F),2.3,,,
Kerosene,2.01,,,
Iodine,2.15,,,
Hydrochlor acid,3.14,,,
Hexane,2.26,,,
Heptane,2.24,,,
Glycerine,2.43,,,
Gasoline,2.22,,,
Fuel Oil min.,1.67,,,
Fuel Oil max.,2.09,,,
Ethylene glycol,2.36,,,
Ethyl ether,2.22,,,
Ether,2.21,,,
Dowtherm,1.55,,,
Dodecane,2.21,,,
Diphenylamine,1.93,,,
Dichlorodifluoromethane R-12 saturated (-40 F),0.88,,,
Dichlorodifluoromethane R-12 saturated (120 F),1.02,,,
Dichlorodifluoromethane R-12 saturated (0 F),0.91,,,
Decane,2.21,,,
Citron Oil,1.84,,,
Chloroform,1.05,,,
Castor Oil,1.8,,,
Carbon Tetrachloride,0.866,,,
Carbon Disulfide,0.992,,,
Calcium Chloride,3.06,,,
Bromine,0.47,,,
Bismuth (800 F),0.15,,,
Bismuth (1400 F),0.165,,,
Bismuth (1000 F),0.155,,,
Benzol,1.8,,,
Benzine,2.1,,,
Benzene (60 F),1.8,,,
Benzene (150 F),1.92,,,
Aniline,2.18,,,
Ammonia (32 F),4.6,,,
Ammonia (238 F),6.74,,,
Ammonia (212 F),6.2,,,
Ammonia (176 F),5.4,,,
Ammonia (104 F),4.86,,,
Alcohol (propyl),2.37,,,
Alcohol (methyl 65 F),2.51,,,
Alcohol (methyl 45 F),2.47,,,
Alcohol (ethyl 32 F),2.3,,,
Alcohol (ethyl 104 F),2.72,,,
Acetone,2.15,,,
Acetic acid,2.043,,,
