Ac,227
Ag,107.8682
Al,26.981539
Am,243
Ar,39.948
As,74.92159
At,210
Au,196.96654
B,10.811
Ba,137.327
Be,9.012182
Bh,262
Bi,208.98037
Bk,247
Br,79.904
C,12.011
Ca,40.078
Cd,112.411
Ce,140.115
Cf,251
Cl,35.4527
Cm,247
Co,58.9332
Cr,51.9961
Cs,132.90543
Cu,63.546
Db,262
Dy,162.5
Er,167.26
Es,254
Eu,151.965
F,18.9984032
Fe,55.847
Fm,257
Fr,223
Ga,69.723
Gd,157.25
Ge,72.61
H,1.00794
He,4.002602
Hf,178.49
Hg,200.59
Ho,164.93032
Hs,265
I,126.90447
In,114.82
Ir,192.22
K,39.0983
Kr,83.8
La,138.9055
Li,6.941
Lr,261
Lu,174.967
Md,258
Mg,24.305
Mn,54.93805
Mo,95.94
Mt,266
N,14.00674
Na,22.989768
Nd,144.24
Ne,20.1797
Nh,92.90638
Ni,58.69
No,259
Np,237.05
O,15.9994
Os,190.2
P,30.973762
Pa,231.03588
Pb,207.2
Pd,106.42
Pm,145
Po,209
Pr,140.90765
Pt,195.08
Pu,244
Ra,226.03
Re,186.207
Rf,261
Rh,102.9055
Rh,85.4678
Rn,222
Ru,101.07
S,32.066
Sb,121.75
Sc,44.95591
Se,78.96
Sg,263
Si,28.0855
Sm,150.36
Sn,118.71
Sr,87.62
Ta,180.9479
Tb,158.92534
Tc,98
Te,127.6
Th,232.0381
Ti,47.88
Tl,204.3833
Tm,168.93421
U,238.0289
V,50.9415
W,183.85
Xe,131.29
Y,88.90585
Yb,173.04
Zn,65.39
Zr,91.224
